portfolio_id,hub_mac,call_date,label,confidence,other_label,other_confidence,outcome_ts,outcome_fulfiled_flag,selected_outcome,selected_outcome_cleaned,outcome_cost,sc_call_next_7d_flag,sc_call_days_next_7d,sc_interactions_next_7d,avg_mins_per_sc_interaction_next_7d,bb_churn_next_30d,bb_churn_next_60d,bb_tenure_months,all_interactions_prev_30d,service_interactions_prev_30d,sales_interactions_prev_30d
17245038784602615180356,507043b5dec0,2025-10-31,Other,10.0,Landline Issue,10.0,2025-10-31 13:00:57.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,13.0,1,1,0
12344285411289538923570,3c457acfc078,2025-09-22,Other,9.0,Landline Issue,6.0,2025-09-22 09:10:24.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,298,0,0,199.0,1,1,0
CX2743558S,80751f377928,2025-08-27,Other,10.0,Landline Issue,9.0,2025-08-27 13:58:49.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,168.0,1,1,0
11276698306180221041640,6ca0b49d3800,2025-09-25,Other,10.0,Landline Issue,9.0,2025-09-25 14:11:44.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,175,0,0,192.0,1,1,0
CX30334558S,5070439dff60,2025-08-26,Other,9.0,Other (General Miscellaneous),5.0,2025-08-26 16:09:56.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,43.0,1,1,0
13318185865615650872573,80751f7c9350,2025-09-18,Other,10.0,Landline Issue,10.0,2025-09-18 15:08:09.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,132.0,3,2,1
CX2098818S,807215daebf0,2025-09-22,Other,9.0,Landline Issue,9.0,2025-09-22 16:24:09.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,118.0,6,6,2
17526703871280427130288,c0a36e81bb38,2025-08-04,Other,9.0,Existing Order or Installation,6.0,2025-08-04 09:05:56.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,5,5,0
14104344381325317715732,00a388e011c8,2025-09-22,Other,10.0,Landline Issue,10.0,2025-09-22 18:08:05.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,532,0,0,132.0,1,1,0
CX40178526S,80751f34b078,2025-09-09,Other,10.0,Landline Issue,10.0,2025-09-09 15:11:44.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,227.0,1,1,0
CX90297601S,80751f162d08,2025-09-03,Other,9.0,Landline Issue,10.0,2025-09-03 11:02:40.000000 UTC,1,BBTTE,BBTTE,60,1,2,1,1644,0,0,223.0,4,4,0
16620402785417860987288,04819bbd2a18,2025-09-18,Other,9.0,Existing Order or Installation,8.0,2025-09-18 11:02:34.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,429,1,1,36.0,3,3,0
16342081531367737332537,80751fbe22b8,2025-10-20,Other,7.0,TV or Device Issue,6.0,2025-10-20 18:40:17.000000 UTC,1,BBTTE,BBTTE,60,1,2,2,3083,0,0,48.0,4,4,0
17492192942588536146853,c0a36e0e3238,2025-09-09,Other,10.0,Landline Issue,9.0,2025-09-09 09:34:43.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1708,0,0,3.0,3,3,0
CX3783004S,00a3881c3210,2025-09-01,Other,10.0,Landline Issue,10.0,2025-09-01 17:23:03.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,2,2,0
CX1995989S,807215c20488,2025-09-24,Other,10.0,Landline Issue,10.0,2025-09-24 08:42:51.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,68.0,8,5,0
15522212543185259000937,6ca0b49a8a08,2025-08-01,Other,9.0,Landline Issue,10.0,2025-08-01 16:06:05.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,3,3,0
CX20272555S,6ca0b4dd2cc8,2025-10-31,Other,9.0,TV or Device Issue,6.0,2025-10-31 18:41:17.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,1,1,85.0,3,3,0
13863211344335912841321,80751f3f5ef8,2025-09-16,Other,9.0,Landline Issue,10.0,2025-09-16 18:27:19.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1735,0,0,140.0,3,3,0
15916182558385469311270,04819b4971c0,2025-10-28,Other,9.0,Billing or Credit,9.0,2025-10-28 11:32:42.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,64.0,5,3,1
15819491287218227954522,04819b478f08,2025-09-26,Other,9.0,Landline Issue,7.0,2025-09-26 08:58:51.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,4,3,3
11763759974933738780784,6ca0b4648900,2025-10-27,Other,9.0,Landline Issue,10.0,2025-10-27 12:54:42.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,43.0,1,1,1
11381874647760797670731,00a3885122c0,2025-08-02,Other,10.0,Landline Issue,10.0,2025-08-02 20:58:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,173.0,3,3,0
12133759060947436742964,50704367dae8,2025-09-20,Other,10.0,Landline Issue,9.0,2025-09-20 16:48:14.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,81.0,1,1,0
12212253503166916791253,04819bf15450,2025-09-05,Other,10.0,TV or Device Issue,9.0,2025-09-05 13:50:53.000000 UTC,1,BBTTE,BBTTE,60,1,2,3,27465,0,0,118.0,10,10,0
16428717131085978172485,6ca0b46335d0,2025-10-21,Other,10.0,Landline Issue,9.0,2025-10-21 15:13:50.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,44.0,1,1,0
12428091037258078957831,c460262c2530,2025-11-03,Other,9.0,Upgrade or Package Change,7.0,2025-11-03 11:29:37.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,62.0,1,1,0
CX3450742S,80721513b870,2025-09-13,Other,8.0,TV or Device Issue,9.0,2025-09-13 14:20:56.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,108.0,1,1,0
17252777595808913256699,c46026129180,2025-09-05,Other,9.0,Landline Issue,10.0,2025-09-05 17:25:03.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1264,0,0,12.0,1,1,0
15549897595676245063395,00a388c2a9b8,2025-09-20,Other,10.0,Broadband Hardware Issue,9.0,2025-09-20 18:39:33.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,35.0,1,1,0
12762702440568037864127,80751f5ddd10,2025-11-03,Other,9.0,Existing Order or Installation,8.0,2025-11-03 15:46:44.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,73.0,1,1,0
15160252362704991721679,b4ba9ddea8a0,2025-10-20,Other,7.0,Contract or Cancellation,7.0,2025-10-20 13:50:32.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,93.0,2,2,1
CX91162733S,00a388470b90,2025-09-22,Other,9.0,Landline Issue,9.0,2025-09-22 15:43:03.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,40.0,2,2,1
CX40196370S,80751fb79648,2025-08-24,Other,10.0,Landline Issue,10.0,2025-08-24 19:52:36.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,11.0,1,1,0
15658634449815393910822,3c457aa7a2d0,2025-09-03,Other,10.0,Landline Issue,10.0,2025-09-03 09:12:36.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,72.0,2,2,0
CX2397770S,c0a36e0980e8,2025-08-14,Other,10.0,Contract or Cancellation,9.0,2025-08-14 09:39:54.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,159.0,3,1,3
15474005766449929512729,b4ba9d3836a0,2025-09-11,Other,10.0,Landline Issue,10.0,2025-09-11 19:22:22.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,1,1,2.0,2,2,0
17494055875050078731943,507043aba990,2025-09-12,Other,8.0,Contract or Cancellation,7.0,2025-09-12 11:35:01.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,3456,0,0,3.0,5,3,3
11956804810812031484297,04819bb36b38,2025-08-30,Other,10.0,Landline Issue,10.0,2025-08-30 13:29:43.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,8,2,5
12131092002097054355712,3c457a497400,2025-10-20,Other,9.0,Landline Issue,8.0,2025-10-20 14:24:45.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,208.0,3,3,0
17206071574278848506773,3c457a6aa700,2025-08-25,Other,10.0,Landline Issue,10.0,2025-08-25 14:35:29.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,13.0,1,1,0
11885835846906414259827,c0a36e567ac8,2025-11-01,Other,7.0,Other (General Miscellaneous),5.0,2025-11-01 09:36:42.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,2678,0,0,217.0,3,3,0
12683062578768540237837,807215918268,2025-08-03,Other,10.0,Landline Issue,10.0,2025-08-03 09:12:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,9,1,7
CX10389907S,80751f976e00,2025-10-24,Other,10.0,Landline Issue,8.0,2025-10-24 14:44:19.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,153.0,2,2,0
CX20758074S,9c31c38d0088,2025-08-27,Other,10.0,Landline Issue,9.0,2025-08-27 09:34:58.000000 UTC,1,BBTTE,BBTTE,60,1,2,3,4361,0,0,88.0,2,2,0
15335595930999154669977,c460261f8600,2025-08-01,Other,10.0,Existing Order or Installation,8.0,2025-08-01 18:46:07.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,84.0,1,1,0
CX1339723S,807215415488,2025-09-09,Other,10.0,Landline Issue,9.0,2025-09-09 17:16:28.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,99.0,1,1,0
15479050495519929512727,00a38813d650,2025-10-27,Other,8.0,Landline Issue,9.0,2025-10-27 16:56:22.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,80.0,1,1,0
CX2216616S,00a38822edf0,2025-10-19,Other,10.0,Landline Issue,10.0,2025-10-19 11:15:10.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,69.0,4,2,1
11829613845010585895232,80751f429c78,2025-09-01,Other,10.0,Landline Issue,9.0,2025-09-01 13:12:01.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,79.0,4,4,0
11968872888524188977119,6ca0b4658980,2025-09-12,Other,9.0,Upgrade or Package Change,9.0,2025-09-12 12:52:41.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,167.0,1,1,0
13873710127956899362815,00a3882bac08,2025-08-23,Other,9.0,Existing Order or Installation,9.0,2025-08-23 19:28:01.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,139.0,1,1,0
17564671877046648765948,b4ba9d0e3e38,2025-09-17,Other,9.0,TV or Device Issue,9.0,2025-09-17 09:07:58.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,9,5,2
12111900461465594700467,6ca0b46b5470,2025-08-25,Other,10.0,Landline Issue,10.0,2025-08-25 10:14:12.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,4,4,0
15787426215502031098031,807215ab38e0,2025-10-27,Other,10.0,Landline Issue,10.0,2025-10-27 09:17:09.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,69.0,1,1,0
15344111928048756164886,6ca0b493d320,2025-11-03,Other,10.0,Landline Issue,9.0,2025-11-03 12:15:27.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,85.0,1,1,0
CX60418996S,04819bb72a18,2025-10-20,Other,9.0,TV or Device Issue,8.0,2025-10-20 17:58:11.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,86.0,3,2,0
15598113117258380934201,00a388df24e0,2025-10-22,Other,10.0,Landline Issue,10.0,2025-10-22 20:13:52.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,1,76.0,1,1,0
15191435040276957361001,6ca0b4855a20,2025-10-21,Other,8.0,Landline Issue,10.0,2025-10-21 12:37:03.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,44.0,1,1,0
17576090547916741444293,00a3883ad410,2025-10-29,Other,10.0,Existing Order or Installation,9.0,2025-10-29 09:59:54.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,1,1,0.0,2,2,1
CX90816340S,04819ba5b520,2025-10-30,Other,9.0,Landline Issue,9.0,2025-10-30 17:26:19.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,170.0,4,2,1
CX70682767S,c0a36e6dc9c8,2025-09-16,Other,9.0,Landline Issue,8.0,2025-09-16 10:10:25.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,91.0,1,1,0
CX4097592S,6ca0b48e8a68,2025-09-15,Other,8.0,TV or Device Issue,8.0,2025-09-15 10:40:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,113.0,9,2,7
12770488280778775039315,04819b9acc68,2025-10-27,Other,9.0,Billing or Credit,9.0,2025-10-27 13:27:24.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,142.0,2,1,2
CX90259342S,80751f6c9ca8,2025-10-27,Other,10.0,Landline Issue,10.0,2025-10-27 09:54:02.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,291,0,0,182.0,1,1,0
15068630590596392968855,00a3882064a0,2025-09-06,Other,6.0,Other (General Miscellaneous),3.0,2025-09-06 15:31:21.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,95.0,2,2,0
CX60369280S,80751f0e9430,2025-09-02,Other,10.0,Landline Issue,9.0,2025-09-02 12:51:11.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,93.0,2,1,1
CX1334648S,00a3884a9f98,2025-08-04,Other,7.0,Other (General Miscellaneous),7.0,2025-08-04 16:08:27.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,8,8,0
14589218120933598582062,04819bac6338,2025-10-24,Other,10.0,Landline Issue,10.0,2025-10-24 11:24:59.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,1,56.0,1,1,0
15317403832239154512159,6ca0b4afa310,2025-09-09,Other,9.0,Billing or Credit,9.0,2025-09-09 15:16:58.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,2565,0,0,86.0,3,3,1
14239254805767589195075,507043940fc0,2025-10-27,Other,9.0,Landline Issue,7.0,2025-10-27 08:24:58.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,508,0,0,127.0,1,1,0
13018409932401176854347,507043db5020,2025-09-25,Other,8.0,Other (General Miscellaneous),3.0,2025-09-25 11:30:41.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,172.0,5,4,1
11956653412182030755335,507043a9b730,2025-08-28,Other,10.0,Landline Issue,9.0,2025-08-28 17:26:06.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,2,2,0
17567261531958410233503,80751fad6dd8,2025-09-11,Other,9.0,Upgrade or Package Change,8.0,2025-09-11 09:47:04.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,3,2,0
14606526095839704691975,3c457ac69918,2025-08-21,Other,10.0,Landline Issue,10.0,2025-08-21 11:25:41.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,112.0,1,1,0
15155109016535006640793,80751f2ce788,2025-09-12,Other,10.0,Landline Issue,9.0,2025-09-12 13:37:30.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,3168,0,0,92.0,4,2,3
CX50100365S,b4ba9dd05028,2025-09-25,Other,9.0,Billing or Credit,8.0,2025-09-25 19:55:31.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,164.0,15,2,13
14780844972411296390977,3c457ae24dc0,2025-10-28,Other,8.0,Other (General Miscellaneous),4.0,2025-10-28 09:45:42.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,88.0,6,2,3
12960654697760863597137,9c31c37f02d0,2025-09-09,Other,10.0,Landline Issue,9.0,2025-09-09 17:17:15.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,159.0,3,1,2
15197440580356957782370,507043a88788,2025-10-19,Other,9.0,Billing or Credit,8.0,2025-10-19 12:35:00.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,91.0,1,1,0
14169249697817302599044,80751f5e8fd8,2025-09-07,Other,10.0,Landline Issue,9.0,2025-09-07 10:54:26.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,129.0,2,1,0
16762966225555651517840,3c457a47f880,2025-10-22,Other,7.0,TV or Device Issue,8.0,2025-10-22 16:06:31.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,31.0,2,1,1
12323062222527466219773,c0a36e626448,2025-09-09,Other,10.0,Landline Issue,10.0,2025-09-09 13:08:57.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,483,0,0,200.0,1,1,0
CX20507520S,3c457ac29d00,2025-08-05,Other,10.0,Landline Issue,10.0,2025-08-05 09:26:57.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,204.0,3,1,1
14594440433796579998342,c0a36e999798,2025-09-19,Other,10.0,Other (General Miscellaneous),3.0,2025-09-19 12:51:19.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,52.0,2,1,0
17404181022414726874213,3c457a413520,2025-09-11,Other,10.0,Existing Order or Installation,9.0,2025-09-11 17:17:35.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,6.0,2,1,0
12200275069635529987484,3c8994d29880,2025-08-27,Other,10.0,Landline Issue,10.0,2025-08-27 13:21:26.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,136.0,5,5,0
17522457695876693027463,00a38823e7c8,2025-08-04,Other,7.0,TV or Device Issue,10.0,2025-08-04 09:56:31.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,5,5,0
16685985836491542514777,00a3882bcde0,2025-08-21,Other,9.0,Billing or Credit,8.0,2025-08-21 11:37:51.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,8.0,5,5,0
CX10859620S,00a3882781b8,2025-08-31,Other,9.0,Landline Issue,7.0,2025-08-31 12:35:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,100.0,1,1,0
14238439117777599742271,6ca0b4ac5eb8,2025-08-15,Other,9.0,Contract or Cancellation,7.0,2025-08-15 14:08:45.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,125.0,1,1,1
16614301103502692418254,5070433ecb18,2025-08-06,Other,9.0,Landline Issue,7.0,2025-08-06 12:30:44.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,10.0,1,1,1
12361788180620972783359,6ca0b4761598,2025-09-05,Other,10.0,Landline Issue,10.0,2025-09-05 18:04:08.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,77.0,6,4,2
11951473317261718438841,8072159452b0,2025-09-11,Other,6.0,Contract or Cancellation,9.0,2025-09-11 18:35:24.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,111.0,1,1,1
15578386602805580265758,507043af0600,2025-09-02,Other,9.0,Advanced Wi-Fi Configuration or Settings,8.0,2025-09-02 15:00:11.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,47.0,5,2,2
12744660337066116133762,3c8994a62898,2025-10-20,Other,8.0,Landline Issue,9.0,2025-10-20 17:10:16.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,13.0,3,3,0
CX1427849S,c0a36e03cc48,2025-08-28,Other,10.0,Existing Order or Installation,8.0,2025-08-28 10:03:24.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,141.0,2,2,0
CX90207117S,6ca0b48d3f90,2025-08-22,Other,10.0,Landline Issue,10.0,2025-08-22 11:53:12.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,97.0,1,1,0
CX3971315S,80751f8d6378,2025-09-12,Other,9.0,Landline Issue,9.0,2025-09-12 08:17:40.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,220.0,3,1,2
15765026670654827405956,807215400428,2025-09-16,Other,9.0,Landline Issue,10.0,2025-09-16 08:57:33.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,68.0,1,1,0
CX60485501S,00a388e78cb8,2025-09-13,Other,10.0,Landline Issue,9.0,2025-09-13 15:13:33.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,81.0,2,1,0
14313568830008117501192,3c8994e59138,2025-10-27,Other,8.0,Billing or Credit,7.0,2025-10-27 09:06:55.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,25.0,1,1,0
CX20326116S,6ca0b4db3390,2025-09-05,Other,9.0,Existing Order or Installation,8.0,2025-09-05 15:39:05.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,1,1,0
13572405775055154962572,507043b0ac58,2025-09-20,Other,10.0,Billing or Credit,9.0,2025-09-20 14:25:15.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,110.0,3,1,3
CX10234700S,3c457a5066a0,2025-09-22,Other,10.0,Landline Issue,9.0,2025-09-22 15:42:52.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,168.0,2,2,0
CX70110040S,c0a36e26f5b0,2025-08-28,Other,10.0,Landline Issue,10.0,2025-08-28 08:03:58.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,153.0,3,1,2
17545800000608201272848,9c31c382dbc0,2025-08-18,Other,8.0,Existing Order or Installation,8.0,2025-08-18 15:37:38.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,2,2,0
CX51014144S,80751f9d7f70,2025-10-21,Other,9.0,TV or Device Issue,9.0,2025-10-21 12:16:18.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,21.0,2,2,0
CX2025549S,3c9ec79bcef0,2025-11-03,Other,10.0,Landline Issue,10.0,2025-11-03 12:49:45.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,155.0,2,1,1
14069959925087524169305,04819b17c898,2025-09-10,Other,9.0,TV or Device Issue,9.0,2025-09-10 16:58:05.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,133.0,1,1,0
16986701359293724953791,04819b060b40,2025-09-01,Other,8.0,Landline Issue,8.0,2025-09-01 14:49:16.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,21.0,4,3,0
12569939402135791325860,3c89943b3c78,2025-08-21,Other,9.0,Upgrade or Package Change,8.0,2025-08-21 15:56:40.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,230,0,0,68.0,1,1,0
CX262762S,6ca0b485ffb0,2025-10-29,Other,10.0,Landline Issue,10.0,2025-10-29 15:04:42.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,37.0,1,1,0
16668055201026336920129,00a388251f68,2025-10-25,Other,9.0,Account Enquiry or Move,8.0,2025-10-25 18:05:37.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,35.0,5,5,1
12840364988289152060474,3c457a5e3218,2025-09-19,Other,10.0,Landline Issue,10.0,2025-09-19 17:07:38.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,141.0,4,4,1
13649158447518914893288,04819b88ddf0,2025-08-12,Other,9.0,Billing or Credit,8.0,2025-08-12 18:39:52.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,148.0,3,1,2
CX11076190S,9c31c3f8f9d0,2025-10-28,Other,9.0,Landline Issue,10.0,2025-10-28 17:12:04.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,17.0,3,3,0
CX70083628S,c0a36e8f4d20,2025-08-22,Other,9.0,Broadband Hardware Issue,8.0,2025-08-22 14:28:58.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,205.0,1,1,0
13242418294882391895360,6ca0b489b668,2025-09-20,Other,10.0,Landline Issue,10.0,2025-09-20 14:56:25.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,163.0,2,1,1
16442621165405933434135,5070438d5578,2025-09-25,Other,9.0,Landline Issue,8.0,2025-09-25 16:20:46.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,43.0,1,1,0
CX230659S,80751f4231e0,2025-09-25,Other,9.0,Landline Issue,9.0,2025-09-25 11:58:34.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,57.0,1,1,0
12889495343067620693144,b4ba9dcc8500,2025-09-21,Other,10.0,Landline Issue,10.0,2025-09-21 12:42:38.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,148,0,0,116.0,1,1,0
