call_date,label,long_reason,evidence,confidence,other_label,other_confidence,outcome_ts,outcome_fulfiled_flag,selected_outcome,selected_outcome_cleaned,outcome_cost,sc_call_next_7d_flag,sc_call_days_next_7d,sc_interactions_next_7d,avg_mins_per_sc_interaction_next_7d,bb_churn_next_30d,bb_churn_next_60d,bb_tenure_months,all_interactions_prev_30d,service_interactions_prev_30d,sales_interactions_prev_30d
2025-10-27,Other,"The customer is experiencing issues with their landline service, specifically an upstairs landline not connecting and receiving nuisance calls at night.",Customer: 'HI <NUMBER> PROBLEMS WITH MY LANDLINE WHICH YOUR PROVIDER OF FOR THE LAST FEW MONTHS IT'S BEEN RINGING ME UP AT <NUMBER> MIDNIGHT EVERY SINGLE DAY Pick it up nobody's there and I don't even pick it up last night However it changed to <NUMBER> PM so that's <NUMBER> problem but I'm getting sick of the the other thing is we have a landline downstairs which is working fine but the upstairs <NUMBER> isn't connecting at all just says out of service',10.0,Landline Issue,10.0,2025-10-27 10:10:15.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,61.0,1,1,0
2025-09-09,Other,"The customer is primarily concerned about a loss of phone line service and the fact that a BT engineer supposedly muddled up the wiring for their and their neighbour's service, leading to their current issues. They are also concerned about potential compensation and an engineer visit.",SO I'M SENDING THE ENGINEER VISIT FOR YOU RIGHT NOW AS WE SPEAK KEEP IN MIND THAT YOU MAY BE CHARGED <NUMBER> POUNDS IF YOU MISS YOUR VISIT OR IF YOU CHANGE YOUR SCHEDULE ON THE DAY OR DAY BEFORE THE VISIT,8.0,Landline Issue,9.0,2025-09-09 19:54:28.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,25.0,1,1,0
2025-09-05,Other,"The customer's internet is still working, but a wire from the box to the master socket has been damaged during a front door replacement and needs to be fixed to prevent future issues.",Customer: THE INTERNET IS STILL WORKING IT'S JUST IT LOOKS LIKE IT'S JUST THE OUTER CASING THAT'S BEEN DAMAGED... Customer: THE WIRE FROM THE BOX TO THE MASTER SOCKET THAT WE THEN PLUG THE... Agent: THIS COME OUT Customer: YEAH THAT'S THE <NUMBER> THAT'S BROKEN THE <NUMBER> BETWEEN THE MINI BOX AND AND THE MASTER SOCKET,9.0,Broadband Hardware Issue,8.0,2025-09-05 20:44:54.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,88.0,2,2,0
2025-09-02,Other,The customer reports that their landline is not working since they received a new router and plugged the phone line into the back of it as instructed. They are unable to make or receive calls.,Customer: NO I'M NOT ABLE TO MAKE CALLS RECEIVE CALLS IT IS JUST A BLANK DIALLING TONE,10.0,Landline Issue,10.0,2025-09-02 10:16:43.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,51.0,3,1,2
2025-10-19,Other,"The customer is having an issue connecting a phone to their Sky service, stating it keeps showing ""wrong name"" during the connection attempt. While this could be related to Wi-Fi, the specific mention of ""phone"" and ""wrong name"" suggests a potential configuration issue rather than a general broadband problem.",Customer: I PAY FOR SKY AND I CAN'T GET IT TO COME ON THE PHONE... NO IT JUST KEEPS COMING UP THIS IS WRONG NAME,5.0,TV or Device Issue,8.0,2025-10-19 15:52:12.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,4.0,1,1,0
2025-09-01,Other,"The customer is experiencing issues with their landline service, specifically not being able to make or receive calls, and getting an engage signal when dialing in, despite receiving a text saying their broadband was up and running. The customer explicitly states their broadband is 'fine'.",Customer: 'I'M FINE THANK YOU TROUBLE WITH MY PHONE' ... 'I'VE EVER SINCE THEN MY PHONE IS NOT WORKING THE LANDLINE IS NOT WORKING IF I DIAL IT ENGAGE SIGNAL BUT I ALSO CAN'T DIAL OUT' ... 'Customer: THEIR BROADBAND TIME NOW',10.0,Landline Issue,9.0,2025-09-01 13:12:01.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,79.0,4,4,0
2025-09-01,Other,"The customer is experiencing an issue with their landline phone not working and seeing a ""Check Phone Line"" message. This is not directly related to broadband or Wi-Fi performance.",Customer: 'somebody rang me on my mobile your phone is not working' and 'it just says check phone line',9.0,Landline Issue,10.0,2025-09-01 09:43:09.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,20.0,1,1,0
2025-09-03,Other,The customer is calling about a crackly phone line and wants an update on an engineer visit that was previously scheduled.,NO GET CRACKLY PHONE LINE,9.0,Landline Issue,8.0,2025-09-03 10:32:00.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1096,0,0,108.0,3,3,0
2025-09-05,Other,The customer is calling to reschedule an engineer visit. The engineer was originally scheduled because the customer felt their broadband was not fast enough.,Customer: I WANT TO RESCHEDULE IF THAT'S ALRIGHT ... Customer: ...my broadband is not fast enough,9.0,Existing Order or Installation,8.0,2025-09-05 15:39:05.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,1,1,0
2025-10-20,Other,"The customer initially reported issues with their landline not ringing and also mentioned their television ""giving me problem"". The agent focused on getting an engineer out to deal with the landline issue and then spent a significant portion of the call reviewing and recontracting the customer's TV and broadband packages to reduce their bill, indicating a primary concern with pricing rather than performance issues with TV or broadband.",Customer: 'OH GOOD AFTERNOON I'M NOT SURE WHO I NEED WHETHER IT'S AN ENGINEER OR WHAT MY TELEPHONE DOESN'T RING OR THEY WANT SPEAKING FROM IT NOW BUT IT WON'T RING WE'VE TRIED MY NEXT DOOR NEIGHBOUR TO PHONE ME IT DOESN'T WORK AND I'VE TRIED ON MY PHONE AND IT DOESN'T BUT ALSO MY TELEVISION FOR GIVING ME PROBLEM' ... Customer: 'YES PLEASE' ... Agent: 'ALRIGHT DARLING NOW ALSO WHAT I HAVE NOTICED ON YOUR ACCOUNT YOU ARE ACTUALLY OUT WITH YOUR CONTRACT FOR BOTH YOUR TV AND YOUR BROADBAND DO YOU WANT ME TO HAVE A LITTLE LOOK AT THAT JUST NOW FOR YOU' ... Customer: 'YES PLEASE',8.0,Contract or Cancellation,8.0,2025-10-20 12:54:42.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,39.0,1,1,0
2025-09-25,Other,"The customer is reporting an issue with their landline phone service, specifically not being able to make or receive calls after a broadband modem update. This is not directly related to broadband performance itself.",Customer: 'SO MY PARENTS UPDATED THE BROADBAND MODEM I THINK ABOUT <NUMBER> WEEKS AGO OR SO SINCE THAT HAS HAPPENED THEY HAVEN'T BEEN ABLE TO MAKE OR RECEIVE CALLS ON THEIR PHONE LINE' and 'Customer: AND THERE'S NO THERE'S NO RING TIME THERE'S NO DIALLING TONE',10.0,Landline Issue,9.0,2025-09-25 12:06:33.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,86.0,1,1,0
2025-09-21,Other,The customer is experiencing an issue with their landline where they can receive incoming calls but cannot make outgoing calls. They have a dial tone but cannot dial out.,Customer: MY LANDLINE WHICH IS THROUGH SKY WHICH IS OH <NUMBER> I CAN RECEIVE INCOMING CALLS BUT I CAN'T MAKE AN OUTGOING CALL Customer: I CAN RECEIVE CALLS BUT I CAN'T MAKE A CALL OUT,10.0,Landline Issue,10.0,2025-09-21 17:00:39.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,206.0,1,1,0
2025-09-26,Other,"The customer is calling to inquire about a booster box they ordered a week ago, which has not yet arrived. The issue is with the delivery of the equipment, not the performance of the broadband service itself.",I'M JUST CHASING A NEW BOOSTER BOX BUT I ORDERED ABOUT A WEEK AGO... I JUST WANT TO SEE IF IT HAS BEEN SENT... YES I ORDERED <NUMBER> ABOUT A WEEK AGO AS A REPLACEMENT... I'VE JUST SENT YOU A CONTRACT IT'S FINE I JUST WANT THE BOOSTER BOX ME ISN'T IT... YEAH DEFINITELY HAVEN'T RECEIVED IT,10.0,Existing Order or Installation,9.0,2025-09-26 14:02:18.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,18.0,3,2,2
2025-10-31,Other,"The primary issue the customer is calling about is a non-functioning landline. While there's a brief mention of the internet being 'a little bit slow', it's not the core reason for the call.",Customer: 'THE PHONE LINE ISN'T WORKING THE LANDLINE PEOPLE CAN RING RINGING BUT YOU CAN'T BUT THEY CAN'T BE HEARD WHEN THEY WHENEVER MY MOM AND DAD REPLY AND THEY CAN'T DIAL OUT THERE ELDERLY PEOPLE AND THEY NEED TO BE ABLE TO DIAL EMERGENCY SO I NEED TO GET THIS FIXED' and 'IT DOES THE INTERNET'S WORKING IT'S A LITTLE BIT SLOW BUT IT IS WORKING',9.0,Landline Issue,9.0,2025-10-31 14:39:43.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,9.0,1,1,0
2025-09-16,Other,The customer is calling to reschedule a missed engineer appointment and wants to ensure the engineer turns up this time.,Customer: IS THERE ANY <PERSON> TO GET IN CONTACT WITH THEY'RE NOT TURN UP BECAUSE WE HAD TO BE CALLED ABOUT THIS BEFORE AND THEY WERE SUPPOSED TO COME LAST FRIDAY THE <ORDINAL> OF SEPTEMBER BUT NOONE <PERSON>,9.0,Existing Order or Installation,9.0,2025-09-16 11:38:43.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,1,1,115.0,2,2,0
2025-09-15,Other,The customer is reporting that their landline is not working and requires an engineer visit to resolve the issue.,'My landline is not working',10.0,Landline Issue,10.0,2025-09-15 14:13:38.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,223.0,2,2,0
2025-10-30,Other,"The customer is confused about how to set up new cables they received for their broadband, not experiencing a performance issue with their broadband service itself. They are not technical and require assistance with the physical setup.",YES IT'S MISTER CALL US THEY SENT ME SOME CABLES SO HE SAID IT WAS CHANGING THE SPEED OF MY BROADBAND BUT AS I <PERSON> I'M <NUMBER> AND I'M STRUGGLING WITH WE'D ACTUALLY I MEAN WHICH STATES THAT I WON'T GET BUT USUALLY THE TELEPHONE IF IT'S PLUGGED INTO A... TELECOM SOCKET SHALL I DON'T KNOW WHAT TO DO WITH THE CABLES I'VE GOT A SINGLE OUTLET BUT THERE'S A MICRO FILTER ISN'T IT I DON'T WHERE DO I PLUG THE TELEPHONE INTO,9.0,Account Enquiry or Move,8.0,2025-10-30 11:28:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,53.0,5,3,3
2025-09-03,Other,"The customer's Wi-Fi charger, specifically the plug itself, broke in half, exposing the internal circuits. This is a hardware issue with the power supply rather than a Wi-Fi connectivity problem.",Customer: HI I'M CALLING BECAUSE MY SKY WIFI CHARGE OR IS BROKEN LITERALLY NAP ... Customer: NO THE CHARGE OR I WAS WONDERING IF REPLACES THE CHARGER LITERALLY JUST SLAP IN HALF YOU KNOW LIKE THE BLOG WITH A PLUG IN NOT THE CABLE A PLUG ITSELF YEAH ... Agent: OKAY SO THE THE SOCKET HOUSE EXPLORE EXPLODED IS THAT CORRECT Customer: IT DIDN'T EXPLORED SPLIT APART ... Customer: I'LL BASICALLY THE OPEN TO THE POINT THAT I CAN SEE WHAT'S INSIDE I CAN SEE ALL THE CIRCUIT ORDER STUFF INSIDE IT,10.0,Broadband Hardware Issue,9.0,2025-09-03 19:56:14.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,8.0,1,1,0
2025-09-11,Other,The customer reports that their landline is completely dead and anyone who rings the number hears that it is not recognised. The agent is booking an engineer visit to resolve the issue.,"Customer: THERE ALRIGHT THANK YOU I HAVE A PROBLEM WITH MY LANDLINE IT'S COMPLETELY DEAD
Agent: YES
Customer: ANYBODY RING THE NUMBER IS NOT RECOGNISED",10.0,Landline Issue,10.0,2025-09-11 19:22:22.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,1,1,2.0,2,2,0
2025-09-23,Other,"The customer is experiencing intermittent issues with their landline phone service, where calls cut out suddenly and the other party hears a ""squeaky noise.""","Customer: ""I'VE GOT A PROBLEM WITH MY PHONE ... WELL IT WORKS AND THEN AS I'M ON THE PHONE TALKING TO SOMEBODY IT JUST SUDDENLY CUTS OUT AND THE PERSON ON THE OTHER END GETS THIS REAL SQUEAKY NOISE IN AREA""",9.0,Landline Issue,9.0,2025-09-23 16:43:06.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,162.0,1,1,0
2025-11-03,Other,"The customer is experiencing a very crackly landline service, making it difficult to hear or be heard during calls. This issue has been ongoing for several weeks.",Customer: MY MAIN LINE IT'S VERY CRACKLY AND I CAN'T HEAR WELL THEY CAN'T HEAR ME AND I CAN'T HEAR THEM,10.0,Landline Issue,9.0,2025-11-03 12:15:27.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,85.0,1,1,0
2025-10-22,Other,"The customer is experiencing a continuous crackling noise on their landline, making it difficult to hear callers or be heard.",Customer: 'OH YES <PERSON> LANDLINE THAT I HAVE IN THE HOUSE WHEN SOMEBODY OFF WHENEVER I MAKE A CALL OR WHEN SOMEBODY PHONES IN THERE'S A CONTINUOUS CRACKLING NOISE ON THE PHONE THAT I CANNOT HEAR I HAVE TO PUT THE PHONE DOWN',,Landline Issue,9.0,2025-10-22 11:03:14.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1075,0,0,212.0,1,1,0
2025-09-03,Other,"The customer is experiencing an issue with their Sky Q mini box not connecting to the main Sky Q box, resulting in an inability to watch TV on connected mini boxes. The customer explicitly states their broadband is working fine for other devices.",Customer: I HAVING PROBLEM WITH THE TELEVISION GOT MESSAGE SAYS YOU CAN'T YOU CAN'T WATCH TV AT THE MOMENT THERE'S A CONNECTIVITY PROBLEM AND THEN ON THE MAIN SCREEN IT SAYS THERE SEEMS TO BE A PROBLEM WITH YOUR BROADBAND BUT WE HAVEN'T GOT PROBLEMS WITH THE BROADBAND. Customer: THE WIFI IS WORKING FINE FROM THE ROUTER TO OTHER DEVICES. Customer: IT SAYS YOU CAN'T CURRENTLY WATCH TV IS AN ISSUE WITH THE CONNECTION BETWEEN THIS MINI BOX IN YOUR SKY <SPELLING_TERM> BOX.,9.0,TV or Device Issue,9.0,2025-09-03 12:32:07.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,156.0,1,1,0
2025-09-07,Other,"The customer's booster box has stopped working and they need a replacement, which is unrelated to the broadband connection itself.",MY SKY BOOSTER BOX HAS STOPPED WORKING,10.0,TV or Device Issue,8.0,2025-09-07 16:28:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,40.0,1,1,0
2025-11-03,Other,"The customer is primarily concerned about the high price of their broadband service and wants compensation for past and current slow internet speeds, despite an engineer visit being scheduled. They express dissatisfaction with paying a high price for a service that they perceive as underperforming.","Customer: ""BUT WHAT I'M CONCERNED ABOUT IS WE'RE PAYING FOR TERRIBLE INTERNET"" and ""SO HOW DO WE GET COMPENSATION because I KNOW THE LAST YEAR WE HAD TERRIBLE INTERNET"" and ""WE DON'T HAVE ANYTHING ON AND EVEN THE TELEVISION DOESN'T WORK AND WE DON'T UNDERSTAND THAT"" and ""I CAN TRANSFER YOU TO RECONTRACT TEAM SO THEY CAN GIVE YOU A LEASE A COUPLE OF OFFERS SO YOU CAN PAY LESS FOR THIS SERVICE""",9.0,Billing or Credit,8.0,2025-11-03 10:07:09.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,19.0,1,1,1
2025-09-06,Other,"The customer is experiencing an issue with their landline phone service, specifically that the person on the other end of the call cannot hear them, despite the customer being able to hear the other person.",Customer: YEAH RIGHT BOUGHT A NEW PHONE HELP... Agent: ALRIGHT TEAM TEAM THE TEST ON THE LINE CAME BACK POSITIVE RIGHT WHAT YOU'RE SAYING IS THAT PERSON ON THE OTHER SIDE CAN'T HEAR YOU BUT YOU CAN HEAR THEM,10.0,Landline Issue,9.0,2025-09-06 17:20:18.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,38.0,1,1,0
2025-10-24,Other,"The customer is experiencing issues with their Sky Mini Box, which they can't watch programmes on, and a 'Privacy Warning' when connecting to Wi-Fi on their phone. While Wi-Fi is mentioned, the primary issue discussed throughout the call revolves around the Mini Box and a ",Customer: 'I was trying to watch some programmes off Sky Witness and and all that I have that but when I went on to the app is saying that there's a problem with my box and it's still saying it now' and 'WHEN I CONNECTING TO THE INTERNET ON MY PHONE IT'S SAYING PRIVACY WARNING',8.0,TV or Device Issue,8.0,2025-10-24 16:28:33.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,137.0,3,1,0
2025-09-19,Other,"The customer is experiencing issues with their phone line, which is not working and has static. They cannot make or receive calls.",Customer: I'VE GOT I'VE GOT MY PHONE LINE IS NOT WORKING... it's got static it's not it's not letting me phone out or receive calls or anything,9.0,Landline Issue,10.0,2025-09-19 13:02:38.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,577,0,0,176.0,2,2,0
2025-09-08,Other,The customer is reporting that their landline is not working and there is no dial tone. They also mentioned they do not use the landline often.,"Customer: HELLO PHONE LINE'S NOT WORKING MY LANDLINE
Agent: OKAY WHEN YOU PICK UP THE PHONE YOU HAVE DIALLING TONE OR IT'S COMPLETELY DEAD
Customer: PHONE UP NO
Agent: YEAH JUST PICK THE PHONE AND CHECK FOR THAT TIME
Customer: NO NOTHING
Agent: NOTHING",9.0,Landline Issue,9.0,2025-09-08 12:50:34.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,204.0,1,1,0
2025-09-09,Other,"The customer is trying to connect a non-Sky router and needs an engineer to set it up because they believe it is not simply ""plug and play."" The issue is with the installation of a new router, not the performance of an existing Sky Broadband connection.",Customer: SO I DECIDED THAT YOU'RE RIGHT THERE IS A LITTLE BIT NOT SUITABLE BUT MY OWN AND I NEED AN ENGINEER TO SET IT UP COS APPARENTLY I CAN'T JUST PLUG IT IN DIRECTLY. Customer: QUESTION BEFORE YOU DO ANY ANY OF THAT ISN'T IT SIMPLE AS PLUG AND PLAY AND YOU TURN IT ON ON YOUR END BECAUSE I CAN JUST PLUG IT ON MY END AND YOU JUST TURN IT ON ON YOURS TEACHING REQUIRE A LAPTOP A COMPATIBILITY SHE. Customer: SO DEFINITELY <NUMBER> OF THE ENGINEERS THEY CAN'T DO IT OVER THE PHONE.,9.0,Account Enquiry or Move,7.0,2025-09-09 18:10:31.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,56.0,2,2,0
2025-10-31,Other,"The customer's mother accidentally disconnected a cable that runs from the outside telephone wire to the ONT box, requiring an engineer to repair it. This issue is related to the physical connection of the broadband service, which falls outside of Wi-Fi performance categories.",HI SO MY MOM'S ACCIDENTALLY PUT THE CABLE THAT RUNS FROM THE OUTSIDE TELEPHONE WIRE INTO THE <NUMBER> EXIT ONT BOX UH SO WE NEED TO BOOK AN ENGINEER TO GET IT REPAIRED,10.0,Broadband Hardware Issue,8.0,2025-10-31 08:45:10.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,35.0,2,2,0
2025-09-13,Other,"The customer needs an engineer to repair a damaged telephone socket, which has resulted in their telephone and broadband services being down.",Customer: BASICALLY I NEED AN ENGINEER TO COME OUT BECAUSE SOMEONE'S CALLED OUT MY SOCKET OUT OF MY OF MY WALL I HAVE CONNECTED MY TELEPHONE LINE ... Customer: TELEPHONE BROADBAND EVERYTHING DOWN,9.0,Landline Issue,8.0,2025-09-13 15:40:58.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,4.0,1,1,0
2025-09-22,Other,"The customer is frustrated with the overall service from Sky and specifically mentions issues with communication and calls being cut off. While they mention broadband, the primary concern appears to be with the customer service experience rather than a specific technical issue with the broadband itself, though the underlying issue is related to ""loss of service"".",Customer: 'I'VE HAD SO MANY ISSUES OVER THE WEEKEND ON HEARING FROM THEM WHAT IS THIS THING LAST NIGHT I'M TOLD BY MESSAGE IT'S ALL BEEN THAT IT'S ALL BEEN SORTED AND IT HASN'T ACTUALLY GOT WORSE SO WHAT THE HELL IS GOING ON I WANT SOMEONE AN ENGINEER TO COME ROUND AND LOOK AT IT I DON'T WANT SOME STUPID AUTOMATIC SYSTEM THAT YOU KEEP USING INCLUDING SAYING THAT WE HAVE NOW RANG YOU SO WE'VE DONE A BIT' and 'YOU'RE TAKING MONEY FROM US <NUMBER> AND <NUMBER> ODD POUNDS A MONTH GETTING NOTHING FOR IT AND IT'S BEEN GOING ON FOR WEEKS THIS HOUSE I WANT CAN I SPEAK TO A MANAGER PLEASE I WANT TO SPEAK TO A MANAGER' and 'I'M NOT BEING HELPFUL PROVIDED OBVIOUSLY THE ENGINEER COMES OUT... IT'S WHERE I WORK I CAN'T BECAUSE OF MY BROADBAND ANYWAY'.,6.0,Other (General Miscellaneous),6.0,2025-09-22 08:13:32.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,121.0,3,3,0
2025-09-08,Other,"The customer's primary issue is that their landline is not working, which is unrelated to broadband performance.",Customer: I'VE SET IT ALL UP BUT MY LANDLINE HASN'T WORKED AT ALL,,Landline Issue,10.0,2025-09-08 09:01:44.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,102.0,2,2,0
2025-10-20,Other,The customer is reporting that their landline is not working and has not been working for several weeks. The agent confirms this is a landline issue and books an engineer to investigate.,Customer: MY PHONE'S NOT WORKING A LANDLINE...Customer: NO GO FOR <NUMBER> WEEKS ON IT'S NOT BEEN WORKING,9.0,Landline Issue,10.0,2025-10-20 14:57:39.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1548,0,0,139.0,2,2,0
