call_date,label,confidence,other_label,other_confidence,outcome_ts,outcome_fulfiled_flag,selected_outcome,selected_outcome_cleaned,outcome_cost,sc_call_next_7d_flag,sc_call_days_next_7d,sc_interactions_next_7d,avg_mins_per_sc_interaction_next_7d,bb_churn_next_30d,bb_churn_next_60d,bb_tenure_months,all_interactions_prev_30d,service_interactions_prev_30d,sales_interactions_prev_30d
2025-08-29,Other,10.0,Landline Issue,9.0,2025-08-29 11:07:44.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,17.0,3,3,0
2025-10-31,Other,10.0,Landline Issue,10.0,2025-10-31 13:00:57.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,13.0,1,1,0
2025-09-22,Other,9.0,Landline Issue,6.0,2025-09-22 09:10:24.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,298,0,0,199.0,1,1,0
2025-08-27,Other,10.0,Landline Issue,9.0,2025-08-27 13:58:49.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,168.0,1,1,0
2025-09-25,Other,10.0,Landline Issue,9.0,2025-09-25 14:11:44.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,175,0,0,192.0,1,1,0
2025-08-26,Other,9.0,Other (General Miscellaneous),5.0,2025-08-26 16:09:56.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,43.0,1,1,0
2025-09-18,Other,10.0,Landline Issue,10.0,2025-09-18 15:08:09.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,132.0,3,2,1
2025-09-22,Other,9.0,Landline Issue,9.0,2025-09-22 16:24:09.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,118.0,6,6,2
2025-08-04,Other,9.0,Existing Order or Installation,6.0,2025-08-04 09:05:56.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,5,5,0
2025-09-22,Other,10.0,Landline Issue,10.0,2025-09-22 18:08:05.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,532,0,0,132.0,1,1,0
2025-09-09,Other,10.0,Landline Issue,10.0,2025-09-09 15:11:44.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,227.0,1,1,0
2025-09-03,Other,9.0,Landline Issue,10.0,2025-09-03 11:02:40.000000 UTC,1,BBTTE,BBTTE,60,1,2,1,1644,0,0,223.0,4,4,0
2025-09-18,Other,9.0,Existing Order or Installation,8.0,2025-09-18 11:02:34.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,429,1,1,36.0,3,3,0
2025-10-20,Other,7.0,TV or Device Issue,6.0,2025-10-20 18:40:17.000000 UTC,1,BBTTE,BBTTE,60,1,2,2,3083,0,0,48.0,4,4,0
2025-09-09,Other,10.0,Landline Issue,9.0,2025-09-09 09:34:43.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1708,0,0,3.0,3,3,0
2025-09-01,Other,10.0,Landline Issue,10.0,2025-09-01 17:23:03.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,2,2,0
2025-09-24,Other,10.0,Landline Issue,10.0,2025-09-24 08:42:51.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,68.0,8,5,0
2025-08-01,Other,9.0,Landline Issue,10.0,2025-08-01 16:06:05.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,3,3,0
2025-10-31,Other,9.0,TV or Device Issue,6.0,2025-10-31 18:41:17.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,1,1,85.0,3,3,0
2025-09-16,Other,9.0,Landline Issue,10.0,2025-09-16 18:27:19.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1735,0,0,140.0,3,3,0
2025-10-28,Other,9.0,Billing or Credit,9.0,2025-10-28 11:32:42.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,64.0,5,3,1
2025-09-26,Other,9.0,Landline Issue,7.0,2025-09-26 08:58:51.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,4,3,3
2025-10-27,Other,9.0,Landline Issue,10.0,2025-10-27 12:54:42.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,43.0,1,1,1
2025-08-02,Other,10.0,Landline Issue,10.0,2025-08-02 20:58:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,173.0,3,3,0
2025-09-20,Other,10.0,Landline Issue,9.0,2025-09-20 16:48:14.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,81.0,1,1,0
2025-09-05,Other,10.0,TV or Device Issue,9.0,2025-09-05 13:50:53.000000 UTC,1,BBTTE,BBTTE,60,1,2,3,27465,0,0,118.0,10,10,0
2025-10-21,Other,10.0,Landline Issue,9.0,2025-10-21 15:13:50.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,44.0,1,1,0
2025-11-03,Other,9.0,Upgrade or Package Change,7.0,2025-11-03 11:29:37.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,62.0,1,1,0
2025-09-13,Other,8.0,TV or Device Issue,9.0,2025-09-13 14:20:56.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,108.0,1,1,0
2025-09-05,Other,9.0,Landline Issue,10.0,2025-09-05 17:25:03.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1264,0,0,12.0,1,1,0
2025-09-20,Other,10.0,Broadband Hardware Issue,9.0,2025-09-20 18:39:33.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,35.0,1,1,0
2025-11-03,Other,9.0,Existing Order or Installation,8.0,2025-11-03 15:46:44.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,73.0,1,1,0
2025-10-20,Other,7.0,Contract or Cancellation,7.0,2025-10-20 13:50:32.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,93.0,2,2,1
2025-09-22,Other,9.0,Landline Issue,9.0,2025-09-22 15:43:03.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,40.0,2,2,1
2025-08-24,Other,10.0,Landline Issue,10.0,2025-08-24 19:52:36.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,11.0,1,1,0
2025-09-03,Other,10.0,Landline Issue,10.0,2025-09-03 09:12:36.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,72.0,2,2,0
2025-08-14,Other,10.0,Contract or Cancellation,9.0,2025-08-14 09:39:54.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,159.0,3,1,3
2025-09-11,Other,10.0,Landline Issue,10.0,2025-09-11 19:22:22.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,1,1,2.0,2,2,0
2025-09-12,Other,8.0,Contract or Cancellation,7.0,2025-09-12 11:35:01.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,3456,0,0,3.0,5,3,3
2025-08-30,Other,10.0,Landline Issue,10.0,2025-08-30 13:29:43.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,8,2,5
2025-10-20,Other,9.0,Landline Issue,8.0,2025-10-20 14:24:45.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,208.0,3,3,0
2025-08-25,Other,10.0,Landline Issue,10.0,2025-08-25 14:35:29.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,13.0,1,1,0
2025-11-01,Other,7.0,Other (General Miscellaneous),5.0,2025-11-01 09:36:42.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,2678,0,0,217.0,3,3,0
2025-08-03,Other,10.0,Landline Issue,10.0,2025-08-03 09:12:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,9,1,7
2025-10-24,Other,10.0,Landline Issue,8.0,2025-10-24 14:44:19.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,153.0,2,2,0
2025-08-27,Other,10.0,Landline Issue,9.0,2025-08-27 09:34:58.000000 UTC,1,BBTTE,BBTTE,60,1,2,3,4361,0,0,88.0,2,2,0
2025-08-01,Other,10.0,Existing Order or Installation,8.0,2025-08-01 18:46:07.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,84.0,1,1,0
2025-09-09,Other,10.0,Landline Issue,9.0,2025-09-09 17:16:28.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,99.0,1,1,0
2025-10-27,Other,8.0,Landline Issue,9.0,2025-10-27 16:56:22.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,80.0,1,1,0
2025-10-19,Other,10.0,Landline Issue,10.0,2025-10-19 11:15:10.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,69.0,4,2,1
2025-09-01,Other,10.0,Landline Issue,9.0,2025-09-01 13:12:01.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,79.0,4,4,0
2025-09-12,Other,9.0,Upgrade or Package Change,9.0,2025-09-12 12:52:41.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,167.0,1,1,0
2025-08-23,Other,9.0,Existing Order or Installation,9.0,2025-08-23 19:28:01.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,139.0,1,1,0
2025-09-17,Other,9.0,TV or Device Issue,9.0,2025-09-17 09:07:58.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,9,5,2
2025-08-25,Other,10.0,Landline Issue,10.0,2025-08-25 10:14:12.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,4,4,0
2025-10-27,Other,10.0,Landline Issue,10.0,2025-10-27 09:17:09.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,69.0,1,1,0
2025-11-03,Other,10.0,Landline Issue,9.0,2025-11-03 12:15:27.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,85.0,1,1,0
2025-10-20,Other,9.0,TV or Device Issue,8.0,2025-10-20 17:58:11.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,86.0,3,2,0
2025-10-22,Other,10.0,Landline Issue,10.0,2025-10-22 20:13:52.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,1,76.0,1,1,0
2025-10-21,Other,8.0,Landline Issue,10.0,2025-10-21 12:37:03.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,44.0,1,1,0
2025-10-29,Other,10.0,Existing Order or Installation,9.0,2025-10-29 09:59:54.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,1,1,0.0,2,2,1
2025-10-30,Other,9.0,Landline Issue,9.0,2025-10-30 17:26:19.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,170.0,4,2,1
2025-09-16,Other,9.0,Landline Issue,8.0,2025-09-16 10:10:25.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,91.0,1,1,0
2025-09-15,Other,8.0,TV or Device Issue,8.0,2025-09-15 10:40:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,113.0,9,2,7
2025-10-27,Other,9.0,Billing or Credit,9.0,2025-10-27 13:27:24.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,142.0,2,1,2
2025-10-27,Other,10.0,Landline Issue,10.0,2025-10-27 09:54:02.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,291,0,0,182.0,1,1,0
2025-09-06,Other,6.0,Other (General Miscellaneous),3.0,2025-09-06 15:31:21.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,95.0,2,2,0
2025-09-02,Other,10.0,Landline Issue,9.0,2025-09-02 12:51:11.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,93.0,2,1,1
2025-08-04,Other,7.0,Other (General Miscellaneous),7.0,2025-08-04 16:08:27.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,8,8,0
2025-10-24,Other,10.0,Landline Issue,10.0,2025-10-24 11:24:59.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,1,56.0,1,1,0
2025-09-09,Other,9.0,Billing or Credit,9.0,2025-09-09 15:16:58.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,2565,0,0,86.0,3,3,1
2025-10-27,Other,9.0,Landline Issue,7.0,2025-10-27 08:24:58.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,508,0,0,127.0,1,1,0
2025-09-25,Other,8.0,Other (General Miscellaneous),3.0,2025-09-25 11:30:41.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,172.0,5,4,1
2025-08-28,Other,10.0,Landline Issue,9.0,2025-08-28 17:26:06.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,2,2,0
2025-09-11,Other,9.0,Upgrade or Package Change,8.0,2025-09-11 09:47:04.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,3,2,0
2025-08-21,Other,10.0,Landline Issue,10.0,2025-08-21 11:25:41.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,112.0,1,1,0
2025-09-12,Other,10.0,Landline Issue,9.0,2025-09-12 13:37:30.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,3168,0,0,92.0,4,2,3
2025-09-25,Other,9.0,Billing or Credit,8.0,2025-09-25 19:55:31.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,164.0,15,2,13
2025-10-28,Other,8.0,Other (General Miscellaneous),4.0,2025-10-28 09:45:42.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,88.0,6,2,3
2025-09-09,Other,10.0,Landline Issue,9.0,2025-09-09 17:17:15.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,159.0,3,1,2
2025-10-19,Other,9.0,Billing or Credit,8.0,2025-10-19 12:35:00.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,91.0,1,1,0
2025-09-07,Other,10.0,Landline Issue,9.0,2025-09-07 10:54:26.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,129.0,2,1,0
2025-10-22,Other,7.0,TV or Device Issue,8.0,2025-10-22 16:06:31.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,31.0,2,1,1
2025-09-09,Other,10.0,Landline Issue,10.0,2025-09-09 13:08:57.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,483,0,0,200.0,1,1,0
2025-08-05,Other,10.0,Landline Issue,10.0,2025-08-05 09:26:57.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,204.0,3,1,1
2025-09-19,Other,10.0,Other (General Miscellaneous),3.0,2025-09-19 12:51:19.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,52.0,2,1,0
2025-09-11,Other,10.0,Existing Order or Installation,9.0,2025-09-11 17:17:35.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,6.0,2,1,0
2025-08-27,Other,10.0,Landline Issue,10.0,2025-08-27 13:21:26.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,136.0,5,5,0
2025-08-04,Other,7.0,TV or Device Issue,10.0,2025-08-04 09:56:31.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,5,5,0
2025-08-21,Other,9.0,Billing or Credit,8.0,2025-08-21 11:37:51.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,8.0,5,5,0
2025-08-31,Other,9.0,Landline Issue,7.0,2025-08-31 12:35:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,100.0,1,1,0
2025-08-15,Other,9.0,Contract or Cancellation,7.0,2025-08-15 14:08:45.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,125.0,1,1,1
2025-08-06,Other,9.0,Landline Issue,7.0,2025-08-06 12:30:44.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,10.0,1,1,1
2025-09-05,Other,10.0,Landline Issue,10.0,2025-09-05 18:04:08.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,77.0,6,4,2
2025-09-11,Other,6.0,Contract or Cancellation,9.0,2025-09-11 18:35:24.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,111.0,1,1,1
2025-09-02,Other,9.0,Advanced Wi-Fi Configuration or Settings,8.0,2025-09-02 15:00:11.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,47.0,5,2,2
2025-10-20,Other,8.0,Landline Issue,9.0,2025-10-20 17:10:16.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,13.0,3,3,0
2025-08-28,Other,10.0,Existing Order or Installation,8.0,2025-08-28 10:03:24.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,141.0,2,2,0
2025-08-22,Other,10.0,Landline Issue,10.0,2025-08-22 11:53:12.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,97.0,1,1,0
2025-09-12,Other,9.0,Landline Issue,9.0,2025-09-12 08:17:40.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,220.0,3,1,2
2025-09-16,Other,9.0,Landline Issue,10.0,2025-09-16 08:57:33.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,68.0,1,1,0
2025-09-13,Other,10.0,Landline Issue,9.0,2025-09-13 15:13:33.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,81.0,2,1,0
2025-10-27,Other,8.0,Billing or Credit,7.0,2025-10-27 09:06:55.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,25.0,1,1,0
2025-09-05,Other,9.0,Existing Order or Installation,8.0,2025-09-05 15:39:05.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,1,1,0
2025-09-20,Other,10.0,Billing or Credit,9.0,2025-09-20 14:25:15.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,110.0,3,1,3
2025-09-22,Other,10.0,Landline Issue,9.0,2025-09-22 15:42:52.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,168.0,2,2,0
2025-08-28,Other,10.0,Landline Issue,10.0,2025-08-28 08:03:58.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,153.0,3,1,2
2025-08-18,Other,8.0,Existing Order or Installation,8.0,2025-08-18 15:37:38.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,2,2,0
2025-10-21,Other,9.0,TV or Device Issue,9.0,2025-10-21 12:16:18.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,21.0,2,2,0
2025-11-03,Other,10.0,Landline Issue,10.0,2025-11-03 12:49:45.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,155.0,2,1,1
2025-09-10,Other,9.0,TV or Device Issue,9.0,2025-09-10 16:58:05.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,133.0,1,1,0
2025-09-01,Other,8.0,Landline Issue,8.0,2025-09-01 14:49:16.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,21.0,4,3,0
2025-08-21,Other,9.0,Upgrade or Package Change,8.0,2025-08-21 15:56:40.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,230,0,0,68.0,1,1,0
2025-10-29,Other,10.0,Landline Issue,10.0,2025-10-29 15:04:42.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,37.0,1,1,0
2025-10-25,Other,9.0,Account Enquiry or Move,8.0,2025-10-25 18:05:37.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,35.0,5,5,1
2025-09-19,Other,10.0,Landline Issue,10.0,2025-09-19 17:07:38.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,141.0,4,4,1
2025-08-12,Other,9.0,Billing or Credit,8.0,2025-08-12 18:39:52.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,148.0,3,1,2
2025-10-28,Other,9.0,Landline Issue,10.0,2025-10-28 17:12:04.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,17.0,3,3,0
2025-08-22,Other,9.0,Broadband Hardware Issue,8.0,2025-08-22 14:28:58.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,205.0,1,1,0
2025-09-20,Other,10.0,Landline Issue,10.0,2025-09-20 14:56:25.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,163.0,2,1,1
2025-09-25,Other,9.0,Landline Issue,8.0,2025-09-25 16:20:46.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,43.0,1,1,0
2025-09-25,Other,9.0,Landline Issue,9.0,2025-09-25 11:58:34.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,57.0,1,1,0
2025-09-21,Other,10.0,Landline Issue,10.0,2025-09-21 12:42:38.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,148,0,0,116.0,1,1,0
2025-09-05,Other,10.0,Landline Issue,10.0,2025-09-05 17:06:23.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,236,0,0,59.0,1,1,0
2025-09-09,Other,10.0,Landline Issue,9.0,2025-09-09 15:42:53.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,38.0,1,1,0
2025-10-22,Other,10.0,Landline Issue,10.0,2025-10-22 15:16:25.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,204.0,3,3,0
2025-09-07,Other,10.0,TV or Device Issue,8.0,2025-09-07 16:28:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,40.0,1,1,0
2025-09-12,Other,9.0,Landline Issue,9.0,2025-09-12 15:19:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,36.0,7,0,0
2025-08-13,Other,9.0,Contract or Cancellation,8.0,2025-08-13 10:00:57.000000 UTC,1,BBTTE,BBTTE,60,1,3,3,2234,0,0,25.0,4,2,2
2025-08-23,Other,10.0,Landline Issue,10.0,2025-08-23 13:11:08.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,14.0,2,2,0
2025-09-10,Other,10.0,Landline Issue,9.0,2025-09-10 14:43:32.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,77.0,1,1,0
2025-10-22,Other,10.0,Account Enquiry or Move,9.0,2025-10-22 14:05:20.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,2397,0,0,10.0,1,1,0
2025-08-13,Other,10.0,Landline Issue,9.0,2025-08-13 10:44:25.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,119.0,3,2,2
2025-09-26,Other,10.0,Landline Issue,10.0,2025-09-26 09:59:41.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,55.0,4,4,0
2025-10-28,Other,10.0,Landline Issue,10.0,2025-10-28 10:15:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,65.0,2,2,0
2025-11-01,Other,10.0,Landline Issue,10.0,2025-11-01 16:14:26.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,186.0,1,1,0
2025-09-23,Other,9.0,Landline Issue,10.0,2025-09-23 14:50:26.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,133.0,5,5,0
2025-10-22,Other,10.0,Landline Issue,10.0,2025-10-22 17:18:03.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,8.0,1,1,0
2025-10-23,Other,10.0,Landline Issue,10.0,2025-10-23 16:51:09.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,192.0,1,1,0
2025-09-03,Other,9.0,Landline Issue,8.0,2025-09-03 10:32:00.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1096,0,0,108.0,3,3,0
2025-10-25,Other,9.0,Billing or Credit,5.0,2025-10-25 18:52:45.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,669,0,0,23.0,2,2,0
2025-09-09,Other,8.0,Broadband Hardware Issue,9.0,2025-09-09 16:14:36.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,225.0,1,1,0
2025-08-03,Other,10.0,Broadband Hardware Issue,8.0,2025-08-03 13:38:18.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,171.0,1,1,0
2025-11-01,Other,9.0,Landline Issue,10.0,2025-11-01 10:06:32.000000 UTC,1,BBTTE,BBTTE,60,1,2,2,1626,0,0,1.0,2,2,1
2025-10-31,Other,8.0,Contract or Cancellation,8.0,2025-10-31 11:57:38.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,19.0,1,1,1
2025-08-29,Other,9.0,Account Enquiry or Move,7.0,2025-08-29 08:48:18.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,10.0,2,2,0
2025-08-28,Other,9.0,Landline Issue,8.0,2025-08-28 15:41:38.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,654,0,0,168.0,2,2,0
2025-09-22,Other,10.0,Landline Issue,10.0,2025-09-22 09:35:14.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,5688,0,0,198.0,5,5,0
2025-10-31,Other,10.0,Landline Issue,10.0,2025-10-31 16:54:16.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,213.0,2,2,0
2025-10-30,Other,10.0,Landline Issue,10.0,2025-10-30 12:48:42.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,1.0,2,2,0
2025-09-19,Other,9.0,Billing or Credit,8.0,2025-09-19 12:22:47.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,152.0,5,3,3
