call_date,label,long_reason,evidence,confidence,other_label,other_confidence,outcome_ts,outcome_fulfiled_flag,suggested_outcome,suggested_outcome_cleaned,selected_outcome,selected_outcome_cleaned,outcome_cost,sc_call_next_7d_flag,sc_call_days_next_7d,sc_interactions_next_7d,avg_mins_per_sc_interaction_next_7d,bb_churn_next_30d,bb_churn_next_60d,bb_tenure_months,all_interactions_prev_30d,service_interactions_prev_30d,sales_interactions_prev_30d,first_csg_call_reason,last_csg_call_reason,engineer_reported_cause,engineer_reported_symptom,engineer_reported_action
2025-09-08,Unreliable Wi-Fi,"The customer initially reports that the TV connection doesn't work, which is tied to the broadband. They later clarify that the broadband itself 'keeps going on and off,' indicating an intermittent connection issue affecting multiple devices.",Customer: 'EVERY SINGLE TIME I GO TO USE THE TV ON THE CONNECTION DOESN'T WORK' and 'THE BROADBAND'S NOT WORKING AT THE MOMENT IT WON'T WORK ON WIFI ON ANY OF OUR DEVICES' and 'EVEN LAST NIGHT ACTUALLY IT JUST KEPT GOING ON AND OFF ON AND OFF ON AND OFF',9,,,2025-09-08 16:17:01 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,30,1,1,0,,,,,
2025-08-18,Other,"The customer called to ask for compensation because an engineer confirmed their internet was running at half speed for a period of time. While related to broadband performance, the primary intent was about compensation for past service, not a current service issue.",Customer: PROBLEMS REALLY WE HAD A PROBLEM WITH OUR WIFI IT WAS DOWN ON SATURDAY AFTERNOON THE ENGINEERS BEEN ROUND TODAY AND DONE EVERYTHING BUT HE'S BEEN SAYING THAT OUR INTERNET'S BEEN RUNNING AT HALF SPEED AND I JUST WONDERED LIKE IS THERE ANY SORT OF COMPENSATION ON THAT SIDE OF IT FOR US,9,Billing or Credit,8,2025-08-18 09:18:21 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,223,2,1,1,,,,,
2025-08-22,Unreliable Wi-Fi,"The customer is experiencing consistent buffering and freezing when watching live sport on Sky, despite having their streaming device hardwired. This indicates an unreliable internet connection that cannot maintain a consistent stream, which points to problems with their Wi-Fi.","Customer: EVERY SINGLE TIME I COME TO WATCH YOU EITHER BUFFERING OR THE PICTURES FREEZING AND I'M NOT TOO SURE WHAT'S GOING ON I'VE THE THE BOX AND THE WIFI TO THE ETHERNET CABLE THE WIFI WITH YOU AS WELL AND EVERYTHING IS STILL PERSISTING AND I CAN'T GET ON THERE WAS A LITTLE BIT
Customer: IT'S LITERALLY JUST LITERALLY JUST LIVE SPORT EVERYTHING <PERSON> IS FINE
Agent: THAT'S GOOD SO GRAB YOUR THE STREAMING <PERSON> IS HARDWIRED TO THE MOTOR AND IT STILL HAPPENS
Customer: YEAH YEAH GO ON
Agent: IN JULY SPECIFICALLY
Customer: YEAH JUST LIVES SORT",9,,,2025-08-22 20:19:33 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,3,1,1,0,,,,,
2025-10-23,Wi-Fi Status,"The customer explicitly states multiple times that they have no internet connection at all, indicating a complete service outage.",I HAVEN'T GOT ANY I'VE NOT GOT ANY INTERNET CONNECTION,10,,,2025-10-23 15:03:59 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,176,2,2,0,,,,,
2025-09-24,Poor Coverage,"The customer reports issues with their Sky Q mini boxes not connecting to the network, specifically in the bedroom, indicating a problem with Wi-Fi coverage or connectivity to secondary devices rather than the main internet service.",Yeah right hang on a minute now because this is this is so basically what we're saying is we've got internet working no Sky working whatsoever Okay in the living room and we've got on the for the bedroom nothing and then either,8,,,2025-09-24 15:21:15 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,13,1,1,0,,,,,
2025-10-22,Wi-Fi Status,"The customer reports that their internet is completely off, and the agent confirms the lights on the Openreach box were off, indicating no connection.",'I'VE GOT MY PAPER AND IT'S JUST GONE OFF' and 'NO LIGHT ON THE <SPELLING_TERM>',9,,,2025-10-22 11:31:28 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,36,1,1,0,,,,,
2025-08-04,Other,"The customer is experiencing issues with their Sky TV service, specifically being unable to connect their TV to the network and view channels, despite having made a late payment. The agent concludes the device itself is faulty and arranges for a replacement.",Customer: 'HI I'M TRYING TO CONNECT MY TV TELEVISION NETWORK BUT I CAN'T',9,TV or Device Issue,8,2025-08-04 18:44:30 UTC,,,INCOMPLETE,,INCOMPLETE,0,1,1,1,1519,0,0,19,1,1,0,Undetermined Broadband Fault,Undetermined Broadband Fault,,,
2025-08-28,Poor Coverage,"The customer reports that their work computer and their daughter's tablet are unable to connect to the Wi-Fi network, and their Sky Glass TV is freezing and struggling with the picture. The agent later identifies that the hub was placed on the floor, rather than its usual higher position, suggesting a coverage issue.","Customer: ""IT WON'T CONNECT TO IT AT ALL"" ""NO WORRIES MY COMPUTER WITH INTERNET SUNDAYS WITH ENGINEER CAME OUT AND FIXED IT BUT NO I'VE NOT GOT IT WORKING YET OFF THE INTERNET I DON'T KNOW WHAT'S GOING ON"" ""THE CHANNELS ARE WORKING NOW BUT SEEM TO KEEP SORT OF FREEZING OR GOING OFF AND RATES ABOUT PICTURE LIKE IT'S STRUGGLING"" ""LIKE LAST NIGHT MY DAUGHTER TRIED TO GO ON THE RISE SHUT THAT WOULDN'T CONNECT"" Agent: ""I'VE JUST MOVED IT FROM THE <NUMBER> UP SO I THINK THE ENGINEERS BOOKED IT DOWN ON THE FLOOR BUT WE USED TO HAVE IT HIGHER UP IN THE WINDOW TO BE HONEST WITH YOU BUT IT'S DOWN OR I'VE JUST PICKED IT UP AFTER <NUMBER>""",9,,,2025-08-28 13:20:39 UTC,,,INCOMPLETE,,INCOMPLETE,0,1,1,1,4170,1,1,138,5,5,0,No Connection,No Connection,,,
2025-08-02,Unreliable Wi-Fi,"The customer reports that their internet connection is unreliable and drops out multiple times, especially when working from home.",YEAH GONE IT'S PROBABLY GONE ON FOR ABOUT <NUMBER> MONTHS LIFE IS BUSY I GOT <NUMBER> CHILDREN EVERYTIME IT RINGS AND WE'RE TRYING TO WORK FROM HOME AND IT'LL DROP OUT MULTIPLE TIMES,9,,,2025-08-02 10:14:41 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,47,1,1,0,,,,,
2025-09-22,Poor Coverage,"The customer reports their broadband is not working properly, especially when multiple people are using it, indicating poor coverage or capacity within the home despite the agent confirming good speeds to the router. The issue is more pronounced when other household members are using the internet, suggesting the current setup struggles to distribute the connection effectively to all devices and areas.","Customer: ""MY BROADBAND DOESN'T WORKING PROPERLY AT ALL"" ... ""YESTERDAY AND PRETTY PORTABILITY COMES AND GOES"" ... ""I MEAN YESTERDAY WE COULDN'T GET ANYTHING ON MY LAPTOP IS IT COMES IN AT THE MOMENT YEAH BECAUSE EVERYONE'S GOING TO WORK UM SERVICE ON A LAPTOP SO THE ONLY THING THAT'S WORKING AT THE MOMENT SO YEAH THE SPEEDS ARE GOOD BUT IN YOUR HOUSEHOLD FOR <NUMBER> PEOPLE ME EXPECTING TO WORK DON'T WORK STRUGGLED TO BE HONEST"" ... ""SORRY LATER ON WHAT PEOPLE COME BACK AND YOU KNOW THE <NUMBER> I USED TO WATCH TV AND THINGS DON'T WORK PROPERLY""",9,,,2025-09-22 12:06:41 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,26,4,1,3,,,,,
2025-08-03,Other,"The customer is experiencing an issue with a specific website being blocked, which they believe is due to a virus. The agent confirms the broadband service is working correctly, indicating the issue is not related to the broadband itself.","Customer: ""IF I TELL YOU WHAT IT IS IT'S CAUGHT CROPPING THAT'S WHAT IT IS"" and ""I'M GOING TO PUT IN THE GOLD SITE I'LL TELL YOU THIS COMPANY THESE COMPANY ARE YOU WANT TO GET HOLD OF HIM AND BLOCK HIM ASK HIM DOES YOU HAVE ANYTHING TO DO WITH IT AND TRY AND FIND OUT THESE PEOPLE <PERSON> NEVER EVER I <PERSON> GO UP TO THE OLD SYSTEM"" and ""I'M DUE TO PAY <NUMBER> POUND AND GIVE CLOUDS ERROR HE'S PUT ON A VIRUS IN IT I'M GOING TO RING ABOUT WAS IN SITE SHE BOUGHT THAT SORT OF STUFF OUR USER SITE IF I CALL YOU BACK"" and Agent: ""I HAVE TESTED THE YOUR BROADBAND TO WHILE YOU WERE TALKING THE BROADBAND ITSELF SEEMS WORKING FINE WITHOUT ANY ISSUES THERE ONLY"" and ""WE DO NOT SEND ENGINEERS FOR <NUMBER> CASES MISTER <PERSON> BECAUSE THE BROADBAND ITSELF IS WORKING FINE WITHOUT ANY SO THIS IS NOT A PROBLEM WITH THE BROADBAND THIS IS A PROBLEM WITH THE WEBSITE ITSELF AND WE ARE NOT RESPONSIBLE FOR THE WEBSITE""",9,Other (General Miscellaneous),4,2025-08-03 12:19:12 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,72,1,1,0,,,,,
2025-10-24,Slow Wi-Fi,"The customer is experiencing buffering when watching TV, indicating a slow internet connection. They mention their Fire Stick is reporting a variable connection.","Customer: ""YEAH IT'S JUST I'VE JUST CHECKED THE MA'AM MY BROADBAND BECAUSE WATCHING TELLY AND IT JUST KEEPS BUFFERING LIKE THAT"" and ""IT'S SAYING THAT MY FIRE STICKS NOT BASICALLY VARIABLE CONNECTION""",9,,,2025-10-24 20:50:10 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,19,1,1,0,,,,,
2025-10-25,Slow Wi-Fi,"The customer reports that their broadband speed is very low, significantly less than what they are paying for, impacting their internet experience.",'the speed was very very low on my broadband so I'm on a <NUMBER> and stands is supposed to be at least half more than <NUMBER> but I was just having a <NUMBER>',9,,,2025-10-25 16:10:38 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,4,1,1,0,,,,,
2025-08-25,Other,"The customer is concerned about a warning message on their Sky app indicating a problem with their download speed, despite the speed being within the guaranteed minimum. The issue is not that the service is actually slow, but rather the discrepancy between the app notification and the actual performance.","Customer: WENT ONLINE AND I COULD SEE HOW THE PROBLEM WITH THE DOWNLOAD SPEED ON MY WIFI I'VE GOT THE SUPER FAST <NUMBER> FOR THE LAST WAS CERTAINLY IN <PERSON> IT'S ONLY <NUMBER>
Agent: ALRIGHT OKAY
Customer: I'VE I'VE I'VE DONE ALL THE TESTS AND SORT OF STUFF YOU KNOW RESETTING THE AND THE ROUTER AND EVERYTHING LIKE THAT AND IT'S STILL NO IT'S STILL NO ACTUALLY EVEN COMING AWAY SAYING THAT THE ISSUE IS RESOLVED",9,Account Enquiry or Move,8,2025-08-25 15:07:07 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,119,1,1,0,,,,,
2025-10-23,Unreliable Wi-Fi,"The customer is experiencing inconsistent broadband speeds, fluctuating significantly. They note that the speed often drops much lower than what they are paying for, indicating an unreliable connection rather than a consistently slow one.","Customer: I'm paying for Giga fast and I'm getting very little more than what I had on the phone line. ... It's working, it's working yeah but it's not working correctly isn't it. ... Customer: I understand that but surely if I'm paying for 900 fast but it should be better than 90. ... Customer: WE'RE SHOWING THERE SO BEFORE IT SAYS WE CAN'T CHECK YOUR WIFI RIGHT NOW BECAUSE WE FOUND A PROBLEM WITH YOUR BROADBAND ON THAT THAT WAS RIGHT 15 MINUTES AGO 15 MINUTES BEFORE I MADE THIS PHONE CALL ... Customer: MEANWHILE WHILE I'VE BEEN ON THIS CALL I'M DONE 4 DIFFERENT SPEED TEST AND THEY'RE ALL OVER 300 IT'S LIKE WELL THAT'S FINE YOU KNOW BUT MY I TO SORT OF 90 ODDS AND 200 I THINK I UPGRADED BECAUSE I WAS GETTING A CONSTANT 70 OUT OF ME PHONE LINE ... Agent: WHAT I WAS WORRIED IS IF YOU IF YOU IF YOU STARTED STARTED AFFECTING LIKE YOUR WIFI WAS DROPPING OUT AND THINGS LIKE THAT AND IT WAS IT WAS CAUSING THE ISSUES LIKE THAT Customer: I AM DOING",8,,,2025-10-23 20:18:34 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,91,6,5,2,,,,,
2025-09-02,Wi-Fi Status,"The customer is reporting that their Sky Booster is not working as it should, specifically that the expected green lights are not on and it is not connecting to the internet, despite the main hub having internet and Wi-Fi lights on.",Customer: YEAH SORRY I JUST WANTED TO CHECK MY SKY BOOSTER IS GOING TO HAVE <NUMBER> LIGHTS ON IT <NUMBER> GREEN LIGHTS <NUMBER> CONNECTED <NUMBER> WIFI ON <NUMBER> OF OUR ... Customer: I JUST SAID THAT THEY'VE NOT <NUMBER> GREEN LIGHTS ON MY SKY BOOSTER ... Customer: THE COLLECTED LIKE THE INTERNET LIGHT IS ON AND THE WIFI LIGHT IS ON BUT THE COLLECTED LATER LOST ... Customer: ABSOLUTELY NOTHING THE INTERNET COMING BACK ON THE HUB BUT THE BOOSTER THEY'RE NOT CONNECTING TO IT.,9,,,2025-09-02 18:19:48 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,2,1,1,0,,,,,
2025-09-04,Unclear,No clear reason was found in the transcript.,No clear evidence was found in the transcript.,1,,,2025-09-04 13:44:43 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,96,2,2,1,,,,,
2025-11-03,Other,"The customer's services were blocked despite making payments, and their primary concern is the inability to make phone calls, not issues with broadband service. The customer explicitly states ""THE BROADBAND IS WORKING"".",Customer: THE BROADBAND WAS ALREADY GREEN IT WAS JUST MY TELEPHONE IT'S MY CALLS I HAVEN'T BEEN ABLE TO MAKE CALLS THE BROADBAND IS WORKING,10,Landline Issue,8,2025-11-03 17:46:46 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,62,2,2,0,,,,,
2025-08-23,Unreliable Wi-Fi,"The customer reports that their internet connection is repeatedly dropping out, having been ""on and off"" for several weeks. This issue is also affecting their Sky Stream service.",Customer: CAN I KEEP LOSING THE INTERNET...BUT IT'S BEEN HAPPENING FOR WEEKS NOW...YEAH ON AND OFF YEAH,9,,,2025-08-23 13:21:47 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,29,1,1,0,,,,,
2025-10-28,Unreliable Wi-Fi,"The customer reports that their TV service keeps going ""on and off"", implying an intermittent connection issue with their broadband which affects their TV.",OH WELL I'VE HAD NO PROBLEMS WITH IT ONLY PROBLEM IS LIKE I SAID IT'S ON AND THEN IT GOES OFF JUST DID WHEN I'VE HAD TO RING UP NOW,8,,,2025-10-28 08:55:14 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,17,1,1,0,,,,,
2025-08-29,Other,"The customer is experiencing an issue with their landline phone service, specifically with the Sky Talk Shield feature and the ability to make and receive calls on their new number. They are also having trouble with the My Sky app.",Customer: 'the new number I've got is <NUMBER> that might be the issue she put the new number in there there should be there it does <PERSON> that but nothing's nothing's come in I'm ringing it' ... Agent: 'I'm just going to have a little chat with the cancellations team and get them to remove the Talk Shield and we'll add it on and see if that works' ... Customer: 'I've been trying to get into my app to do any sort of changes so I don't know' ... Agent: 'So on your mobile app because it's been a bit funny and not bringing up your details I would actually just log out and then just log back in that would probably solve that particular problem',9,Landline Issue,8,2025-08-29 10:21:07 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,0,4,3,1,,,,,
2025-10-27,Wi-Fi Status,"The customer initially reports no internet connection on their TV and other devices, even though all lights on the router are green. The issue appears to be a temporary loss of internet connectivity to the TV, which is resolved by rebooting the Sky Q box.",Customer: WELL THE THE TV IS COMING UP SAYING THAT WE DON'T HAVE AN INTERNET CONNECTION RIGHT NOW AND THE INTERNET DOESN'T SEEM TO BE WORKING BUT ALL THE LIGHTS ARE ON ON THE ROUTER. Customer: IT'S NO IT'S NOT WORKING ON OTHER DEVICES AND ON THE TV IT'S SAYING YOU DON'T HAVE AN INTERNET CONNECTION. Agent: BRILL FOR SOME REASON IT SOUNDS LIKE YOUR TV JUST DISCONNECTED FROM IT WHICH IS REALLY REALLY BIZARRE IT'S NOTHING NORMALLY HAPPENS FOR US. Customer: YEAH IT'S WORKED NETFLIX. Agent: JUST BEEN A VERY VERY SORT OF BRIEF DROPPING YOUR BROADBAND BUT. Customer: OKAY,9,,,2025-10-27 20:44:51 UTC,,,INCOMPLETE,,INCOMPLETE,0,1,1,1,4092,0,0,151,2,2,0,No Connection,No Connection,,,
2025-09-09,Unreliable Wi-Fi,The customer reports that their internet connection is experiencing fluctuations and sometimes goes off since they moved to a new place last week.,'fluctuation in the internet connection sometimes it goes off',9,,,2025-09-09 13:51:26 UTC,,,INCOMPLETE,,INCOMPLETE,0,1,1,1,3357,0,0,0,4,4,0,Solid Amber Light,Solid Amber Light,,,
2025-08-18,Other,"The customer explicitly states that the main issue is the cost of their services, expressing that it is ""too dear"" and they ""can't afford to pay this anymore."" While there is a secondary issue with an iPad not connecting to Wi-Fi, the primary and recurring concern for the customer is the billing and the desire to reduce their monthly payments.",“I need to look into my bill because it's getting too dear not afford to pay this anymore and I also need to know what exactly I'm paying for” and “I'm finding <NUMBER> pound odd a month is far too much for me” and “what I need now is to bring my bill down please”,9,Billing or Credit,9,2025-08-18 09:30:23 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,142,1,1,1,,,,,
2025-11-03,Wi-Fi Status,"The customer reports that their broadband is not working despite having gone through troubleshooting steps and replaced the modem. The customer is being asked to provide more information about the lights on their ONT and how cables are connected to the broadband router, implying a complete lack of internet connectivity.",YEAH I'VE GONE THROUGH THE TROUBLESHOOT STAGE AND ACTUALLY RUNG UP BECAUSE I COULDN'T GET THE BROADBAND TO WORK AND YOU GUYS SENT ME AN ATTACHMENT OF A MODEM AND ONCE I PUT THAT IN THE WIFI STILL NOT WORKING,9,,,2025-11-03 19:57:00 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,33,2,1,1,,,,,
2025-09-15,Other,"The customer is calling about an issue with their landline telephone extensions not working, which they state has been ongoing for several months despite multiple engineer visits. They are concerned about the call dropping during the conversation.",Customer: NO IT'S REGARDING MY LANDLINE EXTENSIONS UNLOCK WORKING SINCE <NUMBER> AND A HALF MONTHS I'VE HAD <NUMBER> ENGINEERS COME IN AND OUT... Customer: YEAH MAKE SURE YOU KNOW THE LINE GETS CUT EVERY TIME WHEN I'M TALKING TO SOMEBODY CALLED THAT EVERY TIME WHICH TAKES ABOUT ANOTHER HALF AN HOUR SO MAKE SURE THE LINE CUT THROUGH GOT AWAY AND THEN YOU HAVE TO CALL ME BACK,9,Landline Issue,10,2025-09-15 16:14:25 UTC,,,INCOMPLETE,,INCOMPLETE,0,1,1,1,6630,0,0,47,10,10,0,No Dial Tone,No Dial Tone,,,
2025-09-08,Poor Coverage,"The customer reports that their Wi-Fi booster, which was previously used to extend the signal to the bedroom, is no longer fully lit, indicating a problem with Wi-Fi signal in that area. The customer also states that the booster worked perfectly fine before the fibre was fitted on Friday.",‘WE HAVE A BOOSTER IN THE BEDROOM BECAUSE...THE SIGNAL'S NOT BRILLIANT ANYWAY THERE'S <NUMBER> LIGHTS ON IT IN THE MIDDLE <NUMBER> ISN'T IT AND THAT'S CONNECTED SO I'M GUESSING THIS COVER THE ISSUE’ and ‘THE BOOSTER IS STILL IN THE SAME POSITION AND IT WORKED PERFECTLY FINE BEFORE FRIDAY’ and ‘NO THE <NUMBER> IN THE MIDDLE CONNECT IS NOT LATE’,9,,,2025-09-08 08:41:09 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,95,3,3,0,,,,,
2025-09-07,Unreliable Wi-Fi,"The customer reports their TV keeps stopping and starting, and a message appears stating there is no internet connection, indicating an intermittent internet issue.",Customer: 'I'VE BEEN WATCHING MY TV FOR THE LAST COUPLE OF DAYS AND IT KEEPS ON STOPPING AND STARTING AGAIN' and 'LOOKS LIKE YOU DO NOT HAVE AN INTERNET CONNECTION OKAY',9,,,2025-09-07 09:58:32 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,30,3,3,0,,,,,
